,Image,Filter,PSNR Gaussian,PSNR Impulsive,SSIM Gaussian,SSIM Impulsive,PSNR Total,SSIM Average
0,colorImage.png,No Denoising,23.23916054,13.25353873,0.180213064,0.150221663,36.49269927,0.165217363
1,colorImage.png,Mean Filter,24.14303266,20.3003476,0.428321438,0.185229837,44.44338026,0.306775638
2,colorImage.png,Mean Filter (Refiltered),23.62300734,21.26936884,0.486253764,0.256482888,44.89237617,0.371368326
3,colorImage.png,Median Filter,30.45649522,32.47782732,0.513054396,0.99624407,62.93432255,0.754649233
4,colorImage.png,Median Filter (Refiltered),32.39328043,33.93910768,0.653441838,0.997841068,66.33238811,0.825641453
5,colorImage.png,GVWTM Filter,27.49807748,32.43620803,0.443353949,0.996240152,59.93428551,0.719797051
6,colorImage.png,GVWTM Filter (Refiltered),27.88506627,33.65639168,0.508911252,0.997822541,61.54145795,0.753366896
7,lenamic.png,No Denoising,20.37588861,15.43132394,0.373660568,0.245193623,35.80721255,0.309427096
8,lenamic.png,Mean Filter,27.08322792,23.36994075,0.683742501,0.512090032,50.45316867,0.597916267
9,lenamic.png,Mean Filter (Refiltered),27.29883772,24.58044525,0.750725711,0.610860736,51.87928297,0.680793224
10,lenamic.png,Median Filter,26.13798149,31.05077919,0.616918244,0.91448636,57.18876068,0.765702302
11,lenamic.png,Median Filter (Refiltered),27.10327983,30.73167069,0.693083492,0.906032822,57.83495052,0.799558157
12,lenamic.png,GVWTM Filter,27.03491752,31.15135593,0.672738422,0.904515258,58.18627345,0.78862684
13,lenamic.png,GVWTM Filter (Refiltered),27.72357445,29.97938133,0.745035832,0.886482276,57.70295578,0.815759054
14,parrots.png,No Denoising,20.40079991,15.33191267,0.31700274,0.204118508,35.73271258,0.260560624
15,parrots.png,Mean Filter,28.30253082,23.75321894,0.698937509,0.502600213,52.05574977,0.600768861
16,parrots.png,Mean Filter (Refiltered),29.10906194,25.43688096,0.794777133,0.629261743,54.5459429,0.712019438
17,parrots.png,Median Filter,27.03778663,33.80725927,0.624089927,0.964824759,60.8450459,0.794457343
18,parrots.png,Median Filter (Refiltered),28.44622699,33.76810587,0.72186547,0.959893751,62.21433286,0.84087961
19,parrots.png,GVWTM Filter,27.92688478,33.05827684,0.675478763,0.933449632,60.98516162,0.804464198
20,parrots.png,GVWTM Filter (Refiltered),29.21607765,32.43838473,0.778052163,0.937405979,61.65446239,0.857729071
21,patent.png,No Denoising,20.2590111,15.80403496,0.213708796,0.137393688,36.06304605,0.175551242
22,patent.png,Mean Filter,27.93820787,24.2198712,0.570810585,0.387875432,52.15807908,0.479343008
23,patent.png,Mean Filter (Refiltered),28.70403228,25.8642019,0.702947957,0.53456243,54.56823417,0.618755193
24,patent.png,Median Filter,26.88514806,33.10870213,0.488728388,0.921260034,59.99385019,0.704994211
25,patent.png,Median Filter (Refiltered),28.30258824,32.82042097,0.613071237,0.917236784,61.12300921,0.76515401
26,patent.png,GVWTM Filter,27.7660635,32.92894123,0.548001151,0.913303656,60.69500473,0.730652403
27,patent.png,GVWTM Filter (Refiltered),28.95285232,31.90276676,0.678924401,0.909988355,60.85561909,0.794456378
28,penguins.png,No Denoising,20.92569492,14.83174129,0.416700344,0.291215782,35.75743621,0.353958063
29,penguins.png,Mean Filter,25.93169103,22.16769989,0.709978203,0.51945658,48.09939092,0.614717392
30,penguins.png,Mean Filter (Refiltered),25.14491505,22.74438605,0.770653932,0.609919089,47.8893011,0.69028651
31,penguins.png,Median Filter,26.24463914,30.35492167,0.658600971,0.958871735,56.59956081,0.808736353
32,penguins.png,Median Filter (Refiltered),26.87843034,29.89617659,0.737411251,0.952622861,56.77460693,0.845017056
33,penguins.png,GVWTM Filter,26.71734552,29.85973241,0.704551997,0.937905281,56.57707793,0.821228639
34,penguins.png,GVWTM Filter (Refiltered),26.84403567,28.72045389,0.779572569,0.9308849,55.56448956,0.855228734
35,redGreen.png,No Denoising,20.86390042,14.55772231,0.115149606,0.082734809,35.42162273,0.098942208
36,redGreen.png,Mean Filter,29.29210608,22.97717078,0.549124327,0.27311296,52.26927685,0.411118644
37,redGreen.png,Mean Filter (Refiltered),31.19639233,25.03166958,0.732814923,0.446364659,56.22806191,0.589589791
38,redGreen.png,Median Filter,27.90911182,42.48830863,0.414699906,0.998500692,70.39742045,0.706600299
39,redGreen.png,Median Filter (Refiltered),30.27332907,44.94303945,0.58163424,0.999644864,75.21636852,0.790639552
40,redGreen.png,GVWTM Filter,29.52490114,37.76977549,0.51694229,0.946568878,67.29467663,0.731755584
41,redGreen.png,GVWTM Filter (Refiltered),32.044406,38.33978968,0.700099989,0.97598575,70.38419568,0.83804287
42,traffic.png,No Denoising,20.51957333,15.23142438,0.612793817,0.451083541,35.75099771,0.531938679
43,traffic.png,Mean Filter,21.05913031,19.62182684,0.652222618,0.546182341,40.68095715,0.599202479
44,traffic.png,Mean Filter (Refiltered),20.50880026,19.61847166,0.65765046,0.571959503,40.12727191,0.614804981
45,traffic.png,Median Filter,21.16421196,21.87160425,0.639300334,0.797624172,43.03581622,0.718462253
46,traffic.png,Median Filter (Refiltered),21.07995545,21.61712858,0.664978037,0.781770633,42.69708403,0.723374335
47,traffic.png,GVWTM Filter,21.64734916,22.14210659,0.68401613,0.809787211,43.78945575,0.74690167
48,traffic.png,GVWTM Filter (Refiltered),21.22551896,21.44357725,0.691481687,0.771672762,42.66909621,0.731577224
